,Index,Date,neg,neu,pos,compound
399,ABMD,2021-04-16,0.0,0.752,0.248,0.5106
400,ABMD,2021-04-15,0.0,0.75,0.25,0.516
401,ABMD,2021-04-10,0.155,0.845,0.0,-0.0258
402,ABMD,2021-04-08,0.0,1.0,0.0,0.0
403,ABMD,2021-04-03,0.0,1.0,0.0,0.0
404,ABMD,2021-04-01,0.0,0.775,0.225,0.4404
405,ABMD,2021-03-31,0.0,1.0,0.0,0.0
406,ABMD,2021-03-21,0.274,0.726,0.0,-0.5267
407,ABMD,2021-03-11,0.0,0.629,0.371,0.6486
408,ABMD,2021-03-10,0.0,1.0,0.0,0.0
409,ABMD,2021-03-04,0.0,1.0,0.0,0.0
410,ABMD,2021-03-01,0.0,1.0,0.0,0.0
411,ABMD,2021-02-27,0.0,1.0,0.0,0.0
412,ABMD,2021-02-17,0.0,1.0,0.0,0.0
413,ABMD,2021-02-17,0.0,1.0,0.0,0.0
414,ABMD,2021-02-11,0.0,1.0,0.0,0.0
415,ABMD,2021-02-04,0.0,1.0,0.0,0.0
416,ABMD,2021-02-02,0.0,0.684,0.316,0.4005
417,ABMD,2021-02-01,0.0,1.0,0.0,0.0
418,ABMD,2021-01-31,0.0,1.0,0.0,0.0
419,ABMD,2021-01-29,0.0,1.0,0.0,0.0
420,ABMD,2021-01-29,0.0,1.0,0.0,0.0
421,ABMD,2021-01-29,0.0,1.0,0.0,0.0
422,ABMD,2021-01-28,0.0,1.0,0.0,0.0
423,ABMD,2021-01-28,0.0,1.0,0.0,0.0
424,ABMD,2021-01-28,0.0,1.0,0.0,0.0
425,ABMD,2021-01-28,0.0,1.0,0.0,0.0
426,ABMD,2021-01-28,0.0,1.0,0.0,0.0
427,ABMD,2021-01-28,0.0,1.0,0.0,0.0
428,ABMD,2021-01-26,0.0,1.0,0.0,0.0
429,ABMD,2021-01-14,0.0,1.0,0.0,0.0
430,ABMD,2021-01-07,0.213,0.787,0.0,-0.4019
431,ABMD,2021-01-07,0.0,0.663,0.337,0.6808
432,ABMD,2021-01-07,0.0,0.806,0.194,0.34
433,ABMD,2021-01-05,0.0,0.769,0.231,0.4019
434,ABMD,2020-12-29,0.0,1.0,0.0,0.0
435,ABMD,2020-12-29,0.0,1.0,0.0,0.0
436,ABMD,2020-12-23,0.0,0.612,0.388,0.5859
437,ABMD,2020-12-21,0.0,0.775,0.225,0.4404
438,ABMD,2020-12-15,0.2,0.8,0.0,-0.25
439,ABMD,2020-12-06,0.0,0.526,0.474,0.7351
440,ABMD,2020-11-25,0.0,1.0,0.0,0.0
441,ABMD,2020-11-18,0.13,0.87,0.0,-0.0516
442,ABMD,2020-11-11,0.0,1.0,0.0,0.0
443,ABMD,2020-11-07,0.0,1.0,0.0,0.0
444,ABMD,2020-11-07,0.161,0.573,0.266,0.25
445,ABMD,2020-11-05,0.0,1.0,0.0,0.0
446,ABMD,2020-10-29,0.0,1.0,0.0,0.0
447,ABMD,2020-10-29,0.0,1.0,0.0,0.0
448,ABMD,2020-10-29,0.0,1.0,0.0,0.0
449,ABMD,2020-10-29,0.0,1.0,0.0,0.0
450,ABMD,2020-10-29,0.0,1.0,0.0,0.0
451,ABMD,2020-10-29,0.0,1.0,0.0,0.0
452,ABMD,2020-10-28,0.0,1.0,0.0,0.0
453,ABMD,2020-10-28,0.0,1.0,0.0,0.0
454,ABMD,2020-10-27,0.0,1.0,0.0,0.0
455,ABMD,2020-10-26,0.0,0.483,0.517,0.7579
456,ABMD,2020-10-22,0.0,1.0,0.0,0.0
457,ABMD,2020-10-16,0.142,0.858,0.0,-0.5106
458,ABMD,2020-10-16,0.11,0.89,0.0,-0.3818
459,ABMD,2020-10-15,0.0,0.734,0.266,0.4404
460,ABMD,2020-10-15,0.0,1.0,0.0,0.0
461,ABMD,2020-10-15,0.0,0.748,0.252,0.6597
462,ABMD,2020-10-15,0.0,1.0,0.0,0.0
463,ABMD,2020-10-14,0.0,0.602,0.398,0.6486
